FECHA;CÓDIGO DE USUARIO;Producto;UBICACION 1 ;MONTO POR CALLE 1
5/6/2023;5.1;TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Joaquin Ramirez;$10 a $15 dólares
6/6/2023;5.1;LECHUGA, PAPAS, CHOCLO;Joaquin Ramirez;$5 a $10 dólares
7/6/2023;5.1;ZANAHORIA, BRÓCOLI, CEBOLLA;Joaquin Ramirez;$5 a $10 dólares
8/6/2023;5.1;ZANAHORIA, BRÓCOLI, CEBOLLA;Joaquin Ramirez;$5 a $10 dólares
9/6/2023;5.1;TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, AJO;Joaquin Ramirez;$15 a $20 dólares
10/6/2023;5.1;PAPAS, TOMATES, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA;Joaquin Ramirez;$15 a $20 dólares
11/6/2023;5.1;TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Joaquin Ramirez;$10 a $15 dólares
5/6/2023;6.2;PAPAS, TOMATES, BRÓCOLI;Av. Chile ;$5 a $10 dólares
6/6/2023;6.2;LECHUGA, PAPAS, BRÓCOLI, CEBOLLA;Av. Chile ;$5 a $10 dólares
7/6/2023;6.2;ZANAHORIA, CEBOLLA, CEBOLLA BLANCA;Av. Chile ;$5 a $10 dólares
8/6/2023;6.2;LECHUGA, PAPAS, CHOCLO, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Chile ;$5 a $10 dólares
9/6/2023;6.2;PAPAS, ZANAHORIA, BRÓCOLI, CEBOLLA BLANCA, AJO;Av. Chile ;$5 a $10 dólares
10/6/2023;6.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Chile ;$10 a $15 dólares
11/6/2023;6.2;TOMATES, CHOCLO, BRÓCOLI;Av. Chile ;$5 a $10 dólares
5/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$20 a $25 dólares
6/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$5 a $10 dólares
7/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$20 a $25 dólares
8/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$20 a $25 dólares
9/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$20 a $25 dólares
10/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$5 a $10 dólares
11/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Olmedo;$10 a $15 dólares
5/6/2023;1.1;TOMATES, ZANAHORIA, BRÓCOLI;Av. Los Amigos;$5 a $10 dólares
6/6/2023;1.1;PAPAS, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Los Amigos;$15 a $20 dólares
7/6/2023;1.1;CHOCLO, CEBOLLA BLANCA, AJO;Av. Los Amigos;$10 a $15 dólares
8/6/2023;1.1;TOMATES, CHOCLO;Av. Los Amigos;$5 a $10 dólares
9/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Los Amigos;$20 a $25 dólares
10/6/2023;1.1;TOMATES, BRÓCOLI;Av. Los Amigos;$5 a $10 dólares
11/6/2023;1.1;CEBOLLA;Av. Los Amigos;$5 a $10 dólares
5/6/2023;2.2;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, AJO;Av. América;$30 a $35 dólares
6/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA;Av. América;$25 a $30 dólares
7/6/2023;2.2;PAPAS, TOMATES, CHOCLO, CEBOLLA, AJO;Av. América;$35 a $40 dólares
8/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA, AJO;Av. América;$25 a $30 dólares
9/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. América;$30 a $35 dólares
10/6/2023;2.2;CHOCLO;Av. América;$30 a $35 dólares
11/6/2023;2.2;PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. América;$25 a $30 dólares
5/6/2023;3.1;CHOCLO, ZANAHORIA, CEBOLLA, AJO;Sucre;$5 a $10 dólares
6/6/2023;3.1;PAPAS, TOMATES, ZANAHORIA;Sucre;$5 a $10 dólares
7/6/2023;3.1;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI;Sucre;$5 a $10 dólares
8/6/2023;3.1;PAPAS, TOMATES, ZANAHORIA;Sucre;$5 a $10 dólares
9/6/2023;3.1;CHOCLO, CEBOLLA BLANCA, AJO;Sucre;$5 a $10 dólares
10/6/2023;3.1;LECHUGA, TOMATES, CHOCLO;Sucre;$10 a $15 dólares
11/6/2023;3.1;PAPAS, TOMATES, CHOCLO, ZANAHORIA;Sucre;$10 a $15 dólares
5/6/2023;4.3;PAPAS, TOMATES, CHOCLO, CEBOLLA;Av. Ricaurte;$10 a $15 dólares
6/6/2023;4.3;PAPAS, TOMATES, CEBOLLA;Av. Ricaurte;$5 a $10 dólares
7/6/2023;4.3;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, AJO;Av. Ricaurte;$20 a $25 dólares
8/6/2023;4.3;PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Ricaurte;$15 a $20 dólares
9/6/2023;4.3;TOMATES, CEBOLLA;Av. Ricaurte;$5 a $10 dólares
10/6/2023;4.3;PAPAS, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Ricaurte;$5 a $10 dólares
11/6/2023;4.3;PAPAS, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Ricaurte;$5 a $10 dólares
5/6/2023;5.1;LECHUGA, TOMATES, CHOCLO, BRÓCOLI, CEBOLLA;Av. Los Amigos;$5 a $10 dólares
6/6/2023;5.1;PAPAS, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Los Amigos;$10 a $15 dólares
7/6/2023;5.1;LECHUGA, PAPAS, TOMATES;Av. Los Amigos;$5 a $10 dólares
8/6/2023;5.1;TOMATES, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Los Amigos;$10 a $15 dólares
9/6/2023;5.1;LECHUGA, PAPAS, TOMATES, CEBOLLA, CEBOLLA BLANCA;Av. Los Amigos;$10 a $15 dólares
10/6/2023;5.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Los Amigos;$15 a $20 dólares
11/6/2023;5.1;LECHUGA, PAPAS, TOMATES, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Los Amigos;$15 a $20 dólares
5/6/2023;6.2;TOMATES, ZANAHORIA, CEBOLLA;Av. Alajuela;$5 a $10 dólares
6/6/2023;6.2;LECHUGA, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Alajuela;$10 a $15 dólares
7/6/2023;6.2;LECHUGA, PAPAS, TOMATES, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Alajuela;$10 a $15 dólares
8/6/2023;6.2;LECHUGA, PAPAS, TOMATES, CEBOLLA BLANCA;Av. Alajuela;$5 a $10 dólares
9/6/2023;6.2;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA;Av. Alajuela;$10 a $15 dólares
10/6/2023;6.2;PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Alajuela;$10 a $15 dólares
11/6/2023;6.2;CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA;Av. Alajuela;$5 a $10 dólares
5/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$10 a $15 dólares
6/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$20 a $25 dólares
7/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$10 a $15 dólares
8/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$10 a $15 dólares
9/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$20 a $25 dólares
10/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$5 a $10 dólares
11/6/2023;7.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, CEBOLLA, AJO;Av. Francisco de Paula Moreira;$5 a $10 dólares
5/6/2023;1.1;LECHUGA, PAPAS, TOMATES, CHOCLO, BRÓCOLI;Joaquin Ramirez;$10 a $15 dólares
6/6/2023;1.1;PAPAS, CHOCLO;Joaquin Ramirez;$5 a $10 dólares
7/6/2023;1.1;PAPAS, TOMATES;Joaquin Ramirez;$5 a $10 dólares
8/6/2023;1.1;TOMATES, CHOCLO, BRÓCOLI;Joaquin Ramirez;$10 a $15 dólares
9/6/2023;1.1;TOMATES, CHOCLO;Joaquin Ramirez;$5 a $10 dólares
10/6/2023;1.1;PAPAS, CHOCLO;Joaquin Ramirez;$5 a $10 dólares
11/6/2023;1.1;LECHUGA, PAPAS, TOMATES, ZANAHORIA, BRÓCOLI, CEBOLLA;Joaquin Ramirez;$20 a $25 dólares
5/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, BRÓCOLI, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Rocafuerte;$35 a $40 dólares
6/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, ZANAHORIA, CEBOLLA;Av. Rocafuerte;$35 a $40 dólares
7/6/2023;2.2;LECHUGA, PAPAS, TOMATES, CHOCLO, CEBOLLA, CEBOLLA BLANCA, AJO;Av. Rocafuerte;$35 a $40 dólares
